network_name,type,direction,freq_start_mhz,freq_end_mhz,note
THAICOM-A2 (78.5E),,,5925.0,6403.0,
THAICOM-A2B (78.5E),,,5927.0,6403.0,
THAICOM-A3 (120E),,,5927.0,6403.0,
THAICOM-A3B (120E),,,5927.0,6403.0,
THAISAT-119.5E (119.5E),,,6405.0,6445.0,
THAISAT-142E (142E),,,6405.0,6445.0,
THAICOM-A3B (120E),,,6407.0,6723.0,
THAICOM-P3 (119.5E),,,6425.0,6725.0,
THAISAT-119.5E (119.5E),,,6475.0,6725.0,
THAISAT-142E (142E),,,6475.0,6585.0,
THAISAT-142E (142E),,,6625.0,6725.0,
THAISAT-78.5E (78.5E),,,7250.0,7750.0,
THAISAT-119.5E (119.5E),,,7250.0,7750.0,
THAICOM-51E (51E),,,7250.0,7750.0,
THAISAT-126E (126E),,,7250.0,7375.0,
THAISAT-142E (142E),,,7250.0,7375.0,
THAISAT-120E (120E),,,7250.0,7375.0,
THAISAT-142E (142E),,,7375.0,7750.0,
THAISAT-78.5E (78.5E),,,7900.0,8400.0,
THAISAT-119.5E (119.5E),,,7900.0,8400.0,
THAISAT-51E (51E),,,7900.0,8400.0,
THAISAT-126E (126E),,,7900.0,8400.0,
THAISAT-142E (142E),,,7900.0,8400.0,
THAISAT-120E (120E),,,7900.0,8400.0,
THEOS2 (NGSO),,,8025.0,8275.0,
THEOS (NGSO),,,8080.0,8200.0,
THEOS2-SMALLSAT (NGSO),,,8135.0,8265.0,
TSC-P (NGSO),,,8215.0,8400.0,
THAICOM-N1 (50.5E),,,10950.0,11200.0,
THAISAT-78.5E (78.5E),,,10950.0,11200.0,
THAICOM-N2 (78.5E),,,10950.0,11200.0,
THAICOM-Q2 (78.5E),,,10950.0,11200.0,
THAICOM-IP1 (119.5E),,,10950.0,11200.0,
THAICOM-P3 (119.5E),,,10950.0,11200.0,
THAISAT-119.5E (119.5E),,,10950.0,11200.0,
THAICOM-51E (51E),,,10950.0,11200.0,
THAISAT-126E (126E),,,10950.0,11200.0,
THAISAT-142E (142E),,,10950.0,11200.0,
THAISAT-120E (120E),,,10950.0,11200.0,
THAICOM-A2B (78.5E),,,10951.0,11198.0,
THAICOM-A3B (120E),,,10951.0,11198.0,
THAISAT-142E (142E),,,11200.0,11700.0,
THAICOM-N1 (50.5E),,,11450.0,11700.0,
THAISAT-78.5E (78.5E),,,11450.0,11700.0,
THAICOM-N2 (78.5E),,,11450.0,11700.0,
THAICOM-Q2 (78.5E),,,11450.0,11700.0,
THAICOM-IP1 (119.5E),,,11450.0,11700.0,
THAICOM-P3 (119.5E),,,11450.0,11700.0,
THAISAT-119.5E (119.5E),,,11450.0,11700.0,
THAICOM-51E (51E),,,11450.0,11700.0,
THAISAT-126E (126E),,,11450.0,11450.0,
THAISAT-120E (120E),,,11450.0,11450.0,
THAICOM-A2B (78.5E),,,11451.0,11698.0,
THAICOM-A3B (120E),,,11451.0,11698.0,
THAISAT-78.5E (78.5E),,,12200.0,12750.0,
THAICOM-N2 (78.5E),,,12200.0,12750.0,
THAICOM-Q2 (78.5E),,,12200.0,12750.0,
THAICOM-IP1 (119.5E),,,12200.0,12750.0,
THAICOM-P3 (119.5E),,,12200.0,12750.0,
THAISAT-119.5E (119.5E),,,12200.0,12750.0,
THAICOM-51E (51E),,,12200.0,12750.0,
THAISAT-126E (126E),,,12200.0,12750.0,
THAISAT-142E (142E),,,12200.0,12750.0,
THAISAT-120E (120E),,,12200.0,12750.0,
THAICOM-A2B (78.5E),,,12253.8,12747.1,
THAICOM-A3B (120E),,,12253.8,12747.1,
THAICOM-AK2/THAICOM-G1K (78.5E),,,12267.9,12747.1,
THAICOM-C1 (50.5E),,,12500.0,12747.1,
THAICOM-N1 (50.5E),,,12500.0,12500.0,
THAISAT-126E (126E),,,12750.0,14500.0,
THAISAT-120E (120E),,,12750.0,14500.0,
THAISAT-78.5E (78.5E),,,13500.0,14500.0,
THAICOM-N1 (50.5E),,,13750.0,14500.0,
THAICOM-N2 (78.5E),,,13750.0,14500.0,
THAICOM-Q2 (78.5E),,,13750.0,14500.0,
THAICOM-IP1 (119.5E),,,13750.0,14500.0,
THAICOM-P3 (119.5E),,,13750.0,14500.0,
THAISAT-119.5E (119.5E),,,13750.0,13775.5,
THAICOM-51E (51E),,,13750.0,14500.0,
THAISAT-142E (142E),,,13750.0,14500.0,
THAICOM-A2B (78.5E),,,13751.8,14459.3,
THAICOM-A3B (120E),,,13751.8,14495.3,
THAISAT-119.5E (119.5E),,,13780.0,14500.0,
THAICOM-C1 (50.5E),,,14002.9,14495.1,
THAICOM-AK2/THAICOM-G1K (78.5E),,,14315.9,14315.9,
